id;name;address;postal_code;phone;fax;email;logo;footer
f3e38ae8-0ed4-4e90-a31a-06ddc8031412;brave joliment;triste zzzz;dessus;+33 793495590;de façon que avant hors;Adenet81@hotmail.fr;aujourd'hui de sorte que sitôt que;à côté de
b54bc1b6-dfbb-4f1d-bde0-787108dfb422;recruter chut;aussi durant;mêler apparemment à bas de;0625160190;meuh vérifier;Helene43@yahoo.fr;quasi de façon à ce que;broum dès zzzz
ab6970cc-a209-4cea-9b39-d2f53b101d9e;cuicui prout;personnel;de peur de;0536705752;introduire;Thibault.Dumas26@gmail.com;délectable;souple commissionnaire
df6dbf10-dfee-401a-86b8-51bb9e8010f4;areu areu;ouf;semer;0185827106;ouin puisque;Aurelle_Thomas95@hotmail.fr;de peur que population du Québec;lors marier
74bad624-78e3-4913-a58d-f5fe58441cbc;simple pour que;hypocrite mordre;cot cot d’autant que;+33 379896314;cependant murmurer spécialiste;Maxellende_Lemaire@hotmail.fr;hors à condition que;fonctionnaire
bafc1542-6ef6-4011-a316-903a32b73517;dès que quand;rêver;infime;0426720378;loin de;Nathalie_Gauthier@yahoo.fr;personnel professionnel parlementaire super;collègue
d2b24bfe-5562-4a8e-b96d-78f9e91ef94c;recommencer quand à moins de;athlète;bientôt après que;0565943841;oh céans;Raymond_Lucas@yahoo.fr;de par demain loufoque;dès que
2bf56eca-e853-4067-bc8b-cccd8e67574c;à l'égard de;hebdomadaire outre;assurément;0747731034;police si;Achille_Andre@yahoo.fr;partenaire membre de l’équipe dès;en dehors de volontiers en outre de
cab40978-6573-4789-a040-87fb1cb773e3;en faveur de blablabla lectorat;dès que;prestataire de services;0505194200;davantage ronron;Fulbert_Julien1@yahoo.fr;aussitôt que habile quand;disparaître
62de5775-6e6a-435c-b76f-ae44a62653f3;adepte si bien que corps enseignant;vide extatique délectable;jouir avant trop;+33 490089461;peut-être intervenir sitôt que;Robert_Paris@gmail.com;boulanger tant;triangulaire paf devenir
